square_fit_area,weather_conditions,temperature,city,soil_color,humidity,rainfall,future_yield,alternative_crop,suitable_fertilizer
38.07947176588889,Cloudy,35.90960589078064,Mumbai,Yellow,89.79572474194931,246.2704014954656,106.4943372423746,Maize,DAP
95.1207163345817,Cloudy,35.75481407673928,Aurangabad,Yellow,80.47351761210942,102.85921738375872,241.05874494634236,Maize,DAP
73.46740023932911,Cloudy,38.90332140855922,Mumbai,Red,86.07531441746457,102.75536650244624,222.38854232782856,Maize,DAP
60.26718993550662,Rainy,32.45681483826366,Pune,Yellow,96.01082967452163,66.8282002975941,192.6777201306837,Cotton,Potash
16.445845403801215,Cloudy,20.19426573599321,Aurangabad,Brown,46.26161434675271,205.16069935142542,45.68447947674561,Maize,DAP
16.443457513284063,Sunny,15.50700787236452,Pune,Yellow,33.410342006102354,22.976168225117945,63.90987209710139,Wheat,Urea
6.750277604651747,Cloudy,26.98539496567755,Mumbai,Yellow,50.36326041182485,108.91652576543026,53.81920532427158,Maize,DAP
86.75143843171858,Sunny,27.84259664056389,Mumbai,Yellow,57.93975160397891,80.06722384486883,170.9115037149757,Rice,NPK
60.510386162577674,Cloudy,21.006564612473287,Mumbai,Red,73.76118646710066,68.80069053042456,110.6518996111505,Maize,DAP
71.09918520180851,Cloudy,18.11743617809008,Aurangabad,Black,85.83931937329973,18.29499515218237,135.24740558916378,Maize,DAP
3.0378649352844422,Sunny,29.655204154762725,Nashik,Black,54.4862301632818,57.11493471744215,40.14961524050728,Rice,NPK
97.02107536403744,Cloudy,34.10639185060353,Nashik,Red,63.14478907158504,133.8733230596104,200.70012316215522,Maize,DAP
83.41182143924175,Cloudy,39.828852589754014,Pune,Brown,84.98270861903345,151.12243658020697,198.27628940294238,Maize,DAP
22.02157195714934,Cloudy,33.95756543026296,Aurangabad,Brown,45.773010843014276,80.851402136938,111.44985092649937,Maize,DAP
19.00067175350296,Rainy,34.840810356389525,Nagpur,Red,45.19923495569023,195.07305253997012,75.90426711097848,Cotton,Potash
19.15704647548995,Sunny,30.411521955719937,Nashik,Black,71.24630928810237,100.73800129709238,68.39445929669283,Wheat,Urea
31.119982052994235,Cloudy,39.64806647425044,Aurangabad,Brown,60.52397813625069,110.17375147488603,126.6237059934972,Maize,DAP
52.950886731591545,Sunny,30.99890962786426,Aurangabad,Red,96.42277621248046,234.78730023633224,158.06008863561635,Rice,NPK
43.76255684556946,Sunny,36.50633215999261,Nashik,Black,54.99213800892046,165.59001642747063,137.22743997295493,Wheat,Urea
29.83168487960615,Sunny,38.64461615602389,Aurangabad,Brown,83.1688922454783,285.9524553582073,83.5166100250049,Wheat,Urea
61.573436577515565,Cloudy,38.24646251251403,Aurangabad,Brown,70.81649204248251,107.79036037954145,201.72159685929273,Maize,DAP
14.809892204552142,Cloudy,24.535383594583912,Nashik,Red,33.82032643647734,248.35214879832102,66.33824847253565,Maize,DAP
29.922320204986598,Sunny,16.96655145785647,Mumbai,Black,35.90698836066139,221.5012607423295,103.40115409456602,Wheat,Urea
37.269822486075476,Rainy,19.29684256348117,Pune,Brown,44.22095417329932,267.0566782325685,78.028553247374,Cotton,Potash
46.150928437486556,Sunny,16.480582634915187,Nagpur,Red,40.02068359943182,287.0374118769243,130.8149214687776,Rice,NPK
78.73242017790835,Rainy,17.6349233707285,Pune,Brown,53.05600427511098,2.3029554230463045,187.65867332242814,Cotton,Potash
20.767704433677615,Sunny,19.61628114734244,Mumbai,Black,70.52922411990832,26.48932436025483,70.02198520248437,Wheat,Urea
51.909209402947546,Sunny,23.527357914685044,Mumbai,Yellow,72.16537801051703,202.30164636825256,120.0268846620681,Rice,NPK
59.64904231734221,Sunny,28.588491164376897,Aurangabad,Brown,71.14374496139179,117.05995790898186,149.94845261972958,Wheat,Urea
5.598590859279775,Cloudy,32.792051483877145,Pune,Black,38.23260442432078,245.73753052282396,52.403638645703474,Maize,DAP
61.146940338242395,Rainy,20.2731834026628,Mumbai,Brown,72.01577876023472,3.5939488998213753,120.50791639276733,Cotton,Potash
17.88188824504186,Rainy,31.813060105953483,Pune,Yellow,58.682282080016954,242.0932208989291,71.11516288679809,Cotton,Potash
7.4401077055426725,Sunny,32.60647686256049,Mumbai,Yellow,93.21368656769089,40.57259949109567,36.62557851185474,Wheat,Urea
